0: [0, 0, 11, 2], [0, 0], 1
1: [0, 0, 4, 3], [0, 0], 1
2: [1, 0, 5, 3], [0, 0], 1
3: [1, 0, 5, 3], [0, 0], 1
4: [1, 0, 5, 3], [0, 0], 1
5: [0, -3, 63, 20], [0, 3], 1
6: [4, 1, 19, 31], [0, 0], 1
7: [4, 1, 19, 30], [0, 1], 1
8: [4, 1, 19, 28], [0, 3], 1
9: [4, 1, 19, 30], [0, 1], 1
10: [4, 1, 19, 29], [0, 2], 1
11: [4, 1, 19, 30], [0, 1], 1
12: [4, 1, 19, 29], [0, 2], 1
13: [4, 1, 19, 29], [0, 2], 1
14: [4, 1, 19, 31], [0, 0], 1
15: [4, 1, 19, 30], [0, 1], 1
16: [4, 1, 19, 28], [0, 3], 1
17: [4, 1, 19, 30], [0, 1], 1
18: [4, 1, 19, 29], [0, 2], 1
19: [4, 1, 19, 30], [0, 1], 1
20: [4, 1, 19, 29], [0, 2], 1
21: [4, 1, 19, 29], [0, 2], 1
22: [4, 1, 19, 32], [0, -1], 1
23: [4, 2, 19, 31], [0, 0], 1
24: [4, 2, 19, 31], [0, 0], 1
25: [4, 2, 19, 30], [0, 1], 1
26: [4, 1, 19, 31], [0, 0], 1
27: [4, 1, 19, 31], [0, 0], 1
28: [4, 1, 19, 31], [0, 0], 1
29: [4, 1, 19, 31], [0, 0], 1
30: [4, 1, 19, 26], [0, 5], 1
31: [2, 2, 21, 20], [2, 11], 1
32: [4, 2, 27, 14], [0, 17], 1
33: [4, 2, 27, 14], [0, 17], 1
34: [4, 2, 19, 26], [0, 5], 1
35: [4, 0, 19, 31], [0, 0], 1
36: [4, 1, 19, 27], [0, 4], 1
37: [4, 3, 19, 23], [0, 8], 1
38: [4, 1, 27, 25], [0, 6], 1
39: [4, 1, 19, 27], [0, 4], 1
40: [0, -3, 23, 12], [0, 3], 1
41: [0, -2, 23, 13], [0, 2], 1
42: [0, -2, 23, 13], [0, 2], 1
43: [4, 1, 19, 28], [0, 3], 1
44: [4, 1, 19, 30], [0, 1], 1
45: [4, 1, 19, 29], [0, 2], 1
46: [4, 7, 19, 31], [0, -3], 1
47: [4, 4, 19, 34], [0, -3], 1
48: [4, 1, 19, 28], [0, 3], 1
49: [4, 1, 19, 30], [0, 1], 1
50: [2, 2, 13, 13], [0, 3], 1
51: [2, 2, 13, 13], [0, 3], 1
52: [2, 2, 13, 13], [0, 3], 1
53: [2, 2, 13, 13], [0, 3], 1
54: [2, 2, 13, 13], [0, 3], 1
55: [2, 2, 13, 13], [0, 3], 1
56: [8, 2, 23, 24], [-2, 2], 1
57: [8, 2, 23, 25], [-2, 1], 1
58: [8, 2, 23, 26], [-2, 0], 1
59: [8, 0, 23, 26], [2, 0], 1
60: [4, 0, 19, 27], [0, 0], 1
61: [4, 0, 19, 28], [8, 0], 1
62: [4, 0, 19, 27], [3, 0], 1
63: [5, 3, 20, 25], [8, 1], 1
64: [5, 2, 20, 24], [8, 2], 1
